Punto;Coordenadas;Babosas;Huevos;Bicho bolita por M2
1;S38 21.949 W59 59.020;0;0;112
2;S38 21.910 W59 58.967;0;0;140
3;S38 21.868 W59 58.916;0;0;200
4;S38 21.826 W59 58.866;0;0;168
5;S38 21.788 W59 58.818;0;0;132
6;S38 21.749 W59 58.771;0;0;220
7;S38 21.706 W59 58.721;0;0;116
8;S38 21.660 W59 58.667;0;0;200
9;S38 21.622 W59 58.619;0;0;120
10;S38 21.580 W59 58.567;0;0;160
11;S38 21.541 W59 58.519;0;0;144
12;S38 21.502 W59 58.471;0;0;188
13;S38 21.460 W59 58.421;0;0;204
14;S38 21.420 W59 58.371;0;0;144
15;S38 21.447 W59 58.313;0;0;112
16;S38 21.497 W59 58.344;0;0;120
17;S38 21.538 W59 58.395;0;0;136
18;S38 21.580 W59 58.445;0;0;148
19;S38 21.620 W59 58.493;0;0;152
20;S38 21.664 W59 58.543;0;0;104
21;S38 21.706 W59 58.592;0;0;108
22;S38 21.747 W59 58.641;0;0;92
23;S38 21.789 W59 58.691;0;0;120
24;S38 21.829 W59 58.737;0;0;116
25;S38 21.871 W59 58.787;0;0;132
26;S38 21.915 W59 58.833;0;0;240
27;S38 21.956 W59 58.878;0;0;140
28;S38 22.001 W59 58.925;0;0;144
29;S38 22.049 W59 58.886;0;0;80
30;S38 22.012 W59 58.833;0;0;68
31;S38 21.971 W59 58.784;0;0;160
32;S38 21.932 W59 58.736;0;0;112
33;S38 21.890 W59 58.685;0;0;140
34;S38 21.852 W59 58.637;0;0;116
35;S38 21.808 W59 58.586;0;0;148
